annee,dept,libelle_classe_age,patho_niv1,Npop,Ntop,prev_calculee
2015,9,de 0 à 4 ans,Maladies cardioneurovasculaires,20410,80.0,0.39
2015,9,de 0 à 4 ans,Maladies inflammatoires ou rares ou infection VIH,20400,40.0,0.2
2015,9,de 0 à 4 ans,Maladies neurologiques,23890,90.0,0.38
2015,9,de 0 à 4 ans,Maladies psychiatriques,20560,80.0,0.39
2015,9,de 0 à 4 ans,Maladies respiratoires chroniques (hors mucoviscidose),13610,1200.0,8.82
2015,9,de 10 à 14 ans,Cancers,19650,50.0,0.25
2015,9,de 10 à 14 ans,Diabète,11830,30.0,0.25
2015,9,de 10 à 14 ans,Maladies cardioneurovasculaires,23610,80.0,0.34
2015,9,de 10 à 14 ans,Maladies inflammatoires ou rares ou infection VIH,19700,60.0,0.3
2015,9,de 10 à 14 ans,Maladies neurologiques,39350,240.0,0.61
2015,9,de 10 à 14 ans,Maladies psychiatriques,62960,670.0,1.06
2015,9,de 10 à 14 ans,Maladies respiratoires chroniques (hors mucoviscidose),15740,720.0,4.57
2015,9,de 15 à 19 ans,Cancers,15440,40.0,0.26
2015,9,de 15 à 19 ans,Diabète,11630,50.0,0.43
2015,9,de 15 à 19 ans,Maladies cardioneurovasculaires,23160,70.0,0.3
2015,9,de 15 à 19 ans,Maladies du foie ou du pancréas (hors mucoviscidose),7720,10.0,0.13
2015,9,de 15 à 19 ans,Maladies inflammatoires ou rares ou infection VIH,38600,90.0,0.23
2015,9,de 15 à 19 ans,Maladies neurologiques,38600,280.0,0.73
2015,9,de 15 à 19 ans,Maladies psychiatriques,92640,860.0,0.93
2015,9,de 15 à 19 ans,Maladies respiratoires chroniques (hors mucoviscidose),15440,490.0,3.17
2015,9,de 20 à 24 ans,Cancers,20120,60.0,0.3
2015,9,de 20 à 24 ans,Diabète,10010,50.0,0.5
2015,9,de 20 à 24 ans,Maladies cardioneurovasculaires,20070,80.0,0.4
2015,9,de 20 à 24 ans,Maladies du foie ou du pancréas (hors mucoviscidose),13380,40.0,0.3
2015,9,de 20 à 24 ans,Maladies inflammatoires ou rares ou infection VIH,43510,150.0,0.34
2015,9,de 20 à 24 ans,Maladies neurologiques,33450,210.0,0.63
2015,9,de 20 à 24 ans,Maladies psychiatriques,80230,810.0,1.01
2015,9,de 20 à 24 ans,Maladies respiratoires chroniques (hors mucoviscidose),13380,350.0,2.62
2015,9,de 25 à 29 ans,Cancers,41180,200.0,0.49
2015,9,de 25 à 29 ans,Diabète,13720,80.0,0.58
2015,9,de 25 à 29 ans,Maladies cardioneurovasculaires,20580,90.0,0.44
2015,9,de 25 à 29 ans,Maladies du foie ou du pancréas (hors mucoviscidose),13720,60.0,0.44
2015,9,de 25 à 29 ans,Maladies inflammatoires ou rares ou infection VIH,44600,280.0,0.63
2015,9,de 25 à 29 ans,Maladies neurologiques,41160,250.0,0.61
2015,9,de 25 à 29 ans,Maladies psychiatriques,82320,920.0,1.12
